[9.5s-13.5s] 来,大家晚上好
[845.5s-846.5s] 是不是很多人已经奔不住
[846.5s-847.5s] 要卖了
[847.5s-848.5s] 这根线
[849.5s-850.5s] 这一天是不是
[850.5s-851.5s] 很多人都卖飞了
[856.6s-857.6s] 是不是
[857.6s-858.6s] 所以你们懂了
[858.6s-859.6s] 为什么有人
[859.6s-860.6s] 老在搞这种事情
[862.6s-863.6s] 所以刚才那个概率的
[863.6s-864.6s] 赔率的问题
[864.6s-865.6s] 我跟你们讲明白了吗
[866.6s-867.6s] 我再跟你们说一点
[868.6s-869.6s] 你们难道没有发现吗
[870.6s-871.6s] 我做股票
[876.3s-877.3s] 我做股票有没有发现
[877.3s-878.3s] 我从来是不
[878.3s-879.3s] 少看个股的卖点
[879.3s-882.8s] 发现没有
[882.8s-884.8s] 你们慢慢的在直播间听了9个人
[884.8s-885.8s] 你们突然会发现一下
[886.8s-887.8s] 买股票卖股票
[888.8s-889.8s] 整个交易逻辑上面
[889.8s-890.8s] 你会发现我基本上
[890.8s-891.8s] 不去关注什么个股
[893.8s-894.8s] 我的卖点你会发现
[894.8s-895.8s] 基本上不关心个股
[896.8s-898.8s] 卖点好像基本都跟节点有关
[900.8s-901.8s] 你们发现这个问题了吗
[903.8s-904.8s] 谁天天盯这个个股
[904.8s-905.8s] 研究来研究去
[905.8s-907.8s] 还在那边信存者边加
[907.8s-908.8s] 这个涨了心态就坏掉了
[908.8s-909.8s] 那个卖飞了心态坏掉了
[910.8s-912.8s] 你们以后会越来越发现
[912.8s-913.8s] 我根本就不太
[913.8s-914.8s] 我跟你们讲过
[914.8s-915.8s] 我说一个板块
[915.8s-916.8s] 无论你是江波龙也好
[916.8s-917.8s] 德明利也好
[917.8s-918.8s] 还是百为存储也好
[918.8s-920.8s] 在这个板个股的选择上面
[920.8s-921.8s] 大家是有一点运气成分的
[922.8s-925.9s] 对不对
[926.9s-928.9s] 不是说我
[928.9s-930.9s] 我不是说我不去
[930.9s-931.9s] 不去选股是因为
[931.9s-932.9s] 不想觉得
[933.9s-934.9s] 觉得就是说
[934.9s-935.9s] 觉得就是说
[937.9s-939.9s] 让大家都不用去选股
[939.9s-940.9s] 不是这个意思
[940.9s-941.9s] 我要让大家理解的是
[941.9s-942.9s] 其实在我的层面来说
[942.9s-945.9s] 选股票是无所谓的
[945.9s-946.9s] 因为一旦节点对了
[946.9s-947.9s] 方向对了
[947.9s-949.9s] 选股是眼睛一瞄的事情
[949.9s-953.3s] 你们会发现
[953.3s-954.3s] 无论我怎么选
[954.3s-955.3s] 选出来的标记
[955.3s-956.3s] 就是市场上面比较强
[957.3s-958.3s] 对吧
[958.3s-959.3s] 你像这一轮调整
[959.3s-960.3s] 三花耕
[960.3s-962.3s] 那个多不多
[962.3s-963.3s] 调整的时候
[963.3s-964.3s] 他们也是比较有气质的
[964.3s-965.3s] 是不是
[965.3s-966.3s] 就是对于我来说
[966.3s-968.3s] 选股这个事情不重要
[968.3s-970.3s] 我老早一直给你们强调一点
[970.3s-971.3s] 当你的节点拐点
[971.3s-972.3s] 选正确的时候
[972.3s-973.3s] 哪怕你股票选的
[973.3s-974.3s] 再差一点
[974.3s-976.3s] 你也是赚的
[977.3s-978.3s] 比如说你在存储性边上
[978.3s-979.3s] 你没有选得名利
[979.3s-981.3s] 你没有选江波龙
[981.3s-983.3s] 哪怕你选的是相农新创
[983.3s-984.3s] 那你也是赚的
[985.3s-986.3s] 这个是最不重要的
[988.3s-989.3s] 能懂了吗
[989.3s-990.3s] 这个是最不重要的
[990.3s-991.3s] 所以基本上我对这一面
[991.3s-993.3s] 你看我讲的就比较少
[993.3s-996.0s] 讲的就比较少
[996.0s-1000.1s] 是不是
[1000.1s-1002.1s] 所以你们一定要理解这件事
[1002.1s-1004.1s] 不要老跟概率做
[1004.1s-1005.1s] 我说了
[1005.1s-1006.1s] 如果你觉得这两天
[1006.1s-1007.1s] 你不用检查
[1007.1s-1008.1s] 很简单
[1008.1s-1009.1s] 你到杭州来跟我摇骰子
[1009.1s-1010.1s] 你乐不乐意了
[1010.1s-1011.1s] 我说你跟我摇骰子
[1011.1s-1012.1s] 摇一到二算你赢
[1012.1s-1013.1s] 四五六
[1013.1s-1014.1s] 三四五六算我赢
[1014.1s-1015.1s] 你又不跟我摇了
[1015.1s-1017.1s] 这个时候你很拎的年轻的
[1017.1s-1018.1s] 那我不是稳输吗
[1018.1s-1020.1s] 怎么放到股市上面
[1020.1s-1021.1s] 你就掂样不清楚了
[1022.1s-1024.2s] 你在这个时候算数是好的
[1024.2s-1025.2s] 为什么
[1025.2s-1026.2s] 到股市里面
[1026.2s-1027.2s] 你就算吧
[1027.2s-1029.7s] 年轻这本账了
[1029.7s-1030.7s] 这两天科技股
[1030.7s-1033.1s] 要回调多少个点
[1033.1s-1035.1s] 我们很多粉丝都没回调
[1035.1s-1044.5s] 是不是
[1045.5s-1047.5s] 所以把这个东西
[1047.5s-1048.5s] 你们的脑海里面
[1048.5s-1049.5s] 才能把交易做好
[1053.1s-1054.1s] 把交易做好
[1054.1s-1055.1s] 好吗
[1055.1s-1056.1s] 好
[1056.1s-1058.1s] 这个点跟大家讲的是
[1058.1s-1059.1s] 比较明确了
[1059.1s-1060.1s] 我就不再过多重复了
[1060.1s-1061.1s] 在我的直播间
[1061.1s-1062.1s] 你们经常会听到
[1062.1s-1063.1s] 胜率
[1063.1s-1064.1s] 赔率
[1064.1s-1065.1s] 盈亏比
[1065.1s-1066.1s] 概率
[1066.1s-1067.1s] 这是做交易的核心
[1067.1s-1068.1s] 其他的都是扯棄扯吧
[1068.1s-1069.1s] 没有用的
[1069.1s-1070.1s] 我们不是神仙
[1070.1s-1071.1s] 可以预知未来
[1071.1s-1072.1s] 或者干嘛
[1072.1s-1073.1s] 没有意义
[1073.1s-1075.1s] 但是我去预判到的
[1075.1s-1077.1s] 很多点一定是有底层逻辑的
[1077.1s-1078.1s] 对吧
[1078.1s-1079.1s] 三月份
[1080.1s-1081.1s] 告诉你们
[1081.1s-1083.1s] 四五月份会有行情印证了
[1084.1s-1085.1s] 四月份开启行情了以后
[1085.1s-1086.1s] 我告诉你们
[1086.1s-1088.1s] 创业版会创破历史新高
[1088.1s-1089.1s] 印证了
[1090.1s-1091.1s] 第三个点
[1091.1s-1092.1s] 我告诉你们
[1092.1s-1093.1s] 创业版破历史新高的时候
[1093.1s-1094.1s] 我们要当心一点了
[1094.1s-1095.1s] 好像现在也印证了
[1096.1s-1098.4s] 对吧
[1098.4s-1099.4s] 第五个点
[1099.4s-1100.4s] 我也告诉你们了
[1100.4s-1101.4s] 在五月份以后
[1101.4s-1102.4s] 我说
[1102.4s-1103.4s] 当科技股调整的时候
[1103.4s-1104.4s] 最有希望的是
[1104.4s-1105.4s] 两个方向
[1105.4s-1106.4s] 机器人跟商业航天
[1106.4s-1107.4s] 但是我选择的是机器人
[1111.5s-1112.5s] 目前来说
[1112.5s-1113.5s] 可能未来也会被印证
[1113.5s-1115.5s] 现在还没有被印证
[1115.5s-1116.5s] 现在只能说这个板块
[1116.5s-1118.5s] 确实有点辨识度
[1120.5s-1121.5s] 然后后面又告诉你们
[1121.5s-1122.5s] 我觉得
[1122.5s-1123.5s] 五月份之波机构行情
[1123.5s-1124.5s] 做完了以后
[1124.5s-1126.5s] 六七月份会有腰骨行情
[1126.5s-1127.5s] 也先说
[1127.5s-1128.5s] 我们去看六七月份
[1128.5s-1129.5s] 有没有腰骨行情
[1131.5s-1132.5s] 没有百分之百对
[1132.5s-1133.5s] 但是很多时候是
[1133.5s-1134.5s] 基于一定的逻辑
[1134.5s-1136.5s] 在去做一个预判
[1136.5s-1137.5s] 这个预判不是为了干嘛
[1137.5s-1139.5s] 是当盘面跟你的预判
[1139.5s-1140.5s] 共振的时候
[1140.5s-1141.5s] 你就有信心
[1141.5s-1144.5s] 和有能力去做好这步行情
[1145.5s-1146.5s] 因为这种预判
[1146.5s-1147.5s] 我们又不直接下舱位
[1147.5s-1148.5s] 对不对
[1148.5s-1149.5s] 我们下舱位
[1149.5s-1152.0s] 还是根据盘面来对不对
[1152.0s-1153.0s] 是不是
[1154.0s-1155.0s] 能理解了吗
[1155.0s-1156.0s] 好
[1156.0s-1157.0s] 那么接下来
[1157.0s-1158.0s] 我们就回归到盘面
[1158.0s-1159.0s] 把盘面给你们烙清楚
[1159.0s-1160.0s] 你们就懂了
[1160.0s-1161.0s] 好吧
[1161.0s-1162.0s] 我跟你们说过了
[1162.0s-1163.0s] 这五到十天
[1163.0s-1164.0s] 我会问你们一个问题
[1164.0s-1166.0s] 是从周五开始记的
[1166.0s-1169.0s] 从五月首五号开始记的
[1169.0s-1170.0s] 这一天开始
[1170.0s-1171.0s] 到这波调整
[1171.0s-1172.0s] 四阶段
[1172.0s-1173.0s] 我觉得差不多结束的时候
[1173.0s-1175.0s] 我会问所有直播间的人一个问题
[1175.0s-1176.0s] 你们回彻了多少个点
[1176.0s-1177.0s] 我给你们有一个要求
[1177.0s-1178.0s] 我说过六个点以内
[1178.0s-1179.0s] 我觉得都合理
[1179.0s-1181.0s] 因为我知道你们很多是独狗
[1181.0s-1182.0s] 管不住手的
[1182.0s-1183.0s] 管不住手的
[1183.0s-1185.0s] 我不会相信你们
[1185.0s-1186.0s] 我相信你们
[1186.0s-1187.0s] 但我不相信人性
[1187.0s-1188.0s] 能懂吗
[1188.0s-1190.0s] 所以我对你们的要求
[1190.0s-1191.0s] 这十天以内
[1191.0s-1193.0s] 我希望大家回彻率
[1193.0s-1194.0s] 不要超过六个点
[1195.0s-1197.0s] 不要超过六个点
[1197.0s-1199.7s] 好
[1199.7s-1200.7s] 指数层面
[1200.7s-1201.7s] 跟大家讲的非常明确
[1201.7s-1203.7s] 这里进入到了一个四阶段的调整
[1203.7s-1204.7s] 而且也跟大家讲过
[1204.7s-1206.7s] 我认为的四阶段的调整力度
[1206.7s-1208.7s] 会比这个三二阶段的时候
[1208.7s-1209.7s] 要大一些
[1209.7s-1211.7s] 至于四阶段调整完
[1211.7s-1212.7s] 五阶段是走双头
[1212.7s-1214.7s] 还是走继续走主声
[1214.7s-1215.7s] 这个东西先不着急
[1215.7s-1216.7s] 先不着急
[1216.7s-1217.7s] 反正现在我们早就
[1217.7s-1219.7s] 一个动作做得非常完美
[1219.7s-1220.7s] 仓位早就减下来了
[1220.7s-1222.7s] 或者有一些人已经空苍了
[1222.7s-1224.7s] 这一波科技股的大回调
[1224.7s-1225.7s] 跟我们没有任何关系
[1226.7s-1227.7s] 跟我们没有任何关系
[1229.7s-1230.7s] 对吧
[1231.7s-1233.7s] 这是我们在对应的时间节点
[1233.7s-1234.7s] 做了一个对应的
[1234.7s-1236.7s] 好的一个行为逻辑
[1236.7s-1237.7s] 好的一个行为逻辑
[1237.7s-1238.7s] 所以指数层面
[1238.7s-1239.7s] 我先跟你们说
[1239.7s-1241.7s] 它现在一定是走四阶段
[1241.7s-1243.7s] 四阶段调整力度大概率
[1243.7s-1244.7s] 就现在其实已经比这里
[1244.7s-1245.7s] 你去看它的协率
[1245.7s-1246.7s] 调整的协率
[1246.7s-1247.7s] 它怎么长上去了
[1247.7s-1248.7s] 调整下来的协率
[1248.7s-1249.7s] 也是这样子的协率
[1249.7s-1250.7s] 发现没
[1250.7s-1252.7s] 所以调整力度一定会比这个大
[1252.7s-1253.7s] 那么这里就会产生
[1253.7s-1254.7s] 两种情况
[1254.7s-1255.7s] 第一种情况
[1255.7s-1257.7s] 就是它依旧会再走一个
[1257.7s-1258.7s] 小的主声段
[1258.7s-1259.7s] 听清楚
[1259.7s-1260.7s] 我这里没有笔
[1261.7s-1262.7s] 这个软件上面
[1262.7s-1263.7s] 好像没有画笔的功能
[1264.7s-1265.7s] 没有笔
[1265.7s-1266.7s] 我就不能给你们画
[1266.7s-1267.7s] 就是它调整力度
[1267.7s-1269.7s] 有可能会继续走一波小的主声
[1269.7s-1271.7s] 比如说走这样子一段
[1272.7s-1273.7s] 走这样子一段
[1275.9s-1276.9s] 能懂吗
[1276.9s-1277.9s] 等一下我看一下
[1277.9s-1278.9s] 有没有画图工具
[1278.9s-1279.9s] 稍等啊
[1279.9s-1281.9s] 画图工具有没有
[1281.9s-1283.9s] 画图工具应该是有
[1284.9s-1291.7s] 画笔好像没有
[1291.7s-1292.7s] 稍等啊
[1292.7s-1299.2s] 我的电脑上
[1299.2s-1301.2s] 可能没有画笔的工具
[1301.2s-1302.2s] 我看一下
[1303.2s-1304.2s] 没有画笔的工具
[1304.2s-1305.2s] 那你们就将去的看
[1307.9s-1308.9s] 编辑画图在哪
[1308.9s-1309.9s] 用电脑画图工具
[1313.7s-1315.7s] 我不登微信的
[1316.7s-1317.7s] 我不登微信的
