[2.3s-71.1s] 一世多 一世多红旋
[71.1s-80.1s] 反正哈 大音线跟我们又有什么关系
[81.6s-83.7s] 大音线跟我们又有什么关系
[709.4s-709.9s] 对吧
[716.9s-719.4s] 当退潮的时候才知道老大硬帮帮
[723.9s-725.0s] 是不是客观事实
[725.0s-725.4s] 来
[726.6s-727.1s] 来
[727.5s-729.6s] 还好我们每天直播都有
[729.9s-730.9s] 都有回放
[730.9s-732.7s] 来我来给大家回顾一下
[733.1s-735.3s] 很多人只有挨揍的时候
[735.4s-737.8s] 才会记得我的话的重要性
[737.8s-739.1s] 来我们来回顾一下
[739.8s-740.7s] 第一句话
[741.4s-741.8s] 来
[742.1s-743.7s] 第一句话告诉过大家
[745.5s-746.9s] 这里是五阶段
[748.6s-749.9s] 这里是五阶段
[750.3s-752.6s] 五阶段的操作难度比一阶段三阶段
[752.6s-753.6s] 要难得多
[753.8s-756.5s] 是结构性行情里面的结构性行情
[757.4s-760.9s] 所以大家要把仓位一定控制在六层仓位以内
[761.0s-762.5s] 对抗不确定性
[762.6s-763.3s] 第一句话
[764.0s-764.6s] 记得吗
[765.6s-766.5s] 记得吗好
[766.7s-767.6s] 第二句话
[767.7s-768.9s] 咱要讲客观事实
[768.9s-770.0s] 来第二句话
[771.0s-772.7s] 很多人把我的话当耳边疯
[772.8s-773.8s] 第二句话
[774.4s-775.5s] 我说过了
[777.0s-777.6s] 我说过了
[777.6s-779.0s] 我们的卖点是什么
[779.0s-780.6s] 根据则实系统来
[780.8s-783.0s] 指数则实系统出现空
[783.7s-784.6s] 我们要倾倉
[785.3s-787.1s] 还有两个卖点是什么
[787.4s-788.2s] 第一个
[788.6s-791.1s] 指数出现爆亮阴线
[791.9s-793.8s] 我们要走
[794.1s-795.0s] 第三个
[795.3s-796.3s] 指数出现
[796.4s-797.5s] 剧量阳线
[797.5s-799.4s] 3.6万亿以上的阳线
[799.4s-800.4s] 我们也要走
[801.4s-802.2s] 三句话
[803.2s-804.2s] 事与不是
[806.9s-808.7s] 事与不是这波五阶段是赚钱
[808.7s-810.0s] 这波五阶段肯定赚钱
[810.4s-812.3s] 不管是三花还是那个
[812.5s-814.1s] 造业创新我们都是赚钱的呀
[817.7s-818.1s] 对吧
[818.2s-819.7s] 今天属于哪种情况
[819.9s-820.9s] 爆亮阴线
[823.0s-824.3s] 是不是爆亮阴线
[830.9s-831.5s] 是不是
[834.4s-835.5s] 今天算不算报
[835.7s-836.4s] 报应呢
[840.9s-842.5s] 今天算不算报应呢
[844.4s-846.2s] 今天算不算报应呢
[874.9s-875.9s] 我请问大家
[875.9s-877.8s] 你要怎么样才算报应
[881.9s-882.9s] 我请问大家要什么
[882.9s-883.6s] 要才算报应
[902.0s-903.8s] 不是我们的票没跌
[904.2s-905.6s] 你就觉得无所谓
[906.5s-908.2s] 我们的票没有跌
[908.2s-911.0s] 反而今天两个票综合是赚的
[912.0s-914.2s] 是因为我牛逼不是行情好
[919.0s-919.8s] 能懂吗
[923.6s-926.5s] 不要觉得今天是赚钱的就有点飘
[927.6s-929.3s] 是因为我们选的票牛逼
[929.3s-930.8s] 不是因为行情好
[953.9s-955.3s] 基础能力贼差的人
[955.3s-957.1s] 去进修一下基础班
[957.5s-958.4s] 去找客服
[966.8s-968.0s] 但没有空啊
[969.4s-970.5s] 但没有空啊
[971.6s-972.9s] 昨天直播间来了吗
[981.5s-982.8s] 昨天直播间来了吗
[1000.2s-1001.6s] 来名字叫报复的人
[1001.6s-1002.5s] 你给我上麦来
[1003.5s-1004.4s] 现在就给我上来
[1013.9s-1014.8s] 现在就给我上来
[1022.6s-1023.2s] 上麦
[1031.0s-1031.8s] 怎么不上来
[1032.8s-1033.5s] 上来说
[1042.5s-1044.5s] 为什么直播间所有的人
[1044.5s-1046.0s] 99%的人都听得懂
[1046.0s-1047.0s] 为什么你听不懂
[1060.7s-1061.2s] 来
[1063.5s-1064.7s] 我看了一下
[1064.9s-1065.9s] 查了一下资料
[1065.9s-1066.9s] 他是
[1068.9s-1072.5s] 常心是27号上会讨论
[1073.1s-1074.7s] 然后我又查了一下
[1074.7s-1078.3s] 他的机构的那个目标架
[1078.3s-1079.3s] 你这个问题啊
[1079.6s-1080.5s] 谁问你这个问题的
[1080.5s-1082.4s] 我问你的是昨天卖点是什么
[1082.4s-1083.4s] 从不给我说一遍
[1085.2s-1088.6s] 然后我以为是你说是
[1089.3s-1091.4s] 那个没出出空的话
[1092.0s-1094.5s] 然后还是可以持股的
[1094.5s-1096.4s] 所以我今天没走
[1096.7s-1098.3s] 我昨天原话是这么说的
[1099.3s-1100.6s] 走不走不重要
[1101.1s-1102.3s] 走不走不重要
[1102.5s-1104.4s] 今天照一照一也好
[1104.4s-1105.4s] 三花也好走不走
[1105.4s-1106.4s] 这是另外一个话题
[1106.4s-1107.7s] 先不讨论这个话题
[1107.8s-1109.0s] 我们的卖点是什么
[1112.1s-1113.1s] 卖点的话
[1116.8s-1118.4s] 我以为是还是以
[1118.7s-1119.8s] 你的那个
[1120.3s-1122.5s] 我当时我今天的感觉是
[1123.7s-1125.3s] 我感叹是
[1125.6s-1126.6s] 你在这个
[1127.1s-1129.4s] 沙半团业的能力比较强
[1129.7s-1131.5s] 我自己在沙半团业了
[1131.5s-1134.5s] 无论怎么样那个撤算的话
[1134.5s-1136.9s] 他都只是转不会出现空
[1137.5s-1139.0s] 跟这个有什么关系
[1139.6s-1140.5s] 跟这个有什么关系
[1140.5s-1142.9s] 他出不出空跟今天爆亮阴线
[1142.9s-1144.2s] 要不要走有什么关系
[1146.0s-1147.2s] 昨天的卖点是什么
[1147.5s-1148.3s] 三句话
[1148.5s-1150.4s] 第一爆亮阴线要走
[1150.4s-1153.3s] 第二3.6万以上的爆亮阳线也要走
[1153.3s-1155.6s] 第三软件出空要走
[1155.7s-1156.6s] 听不明白吗
[1158.1s-1160.0s] 这个我比记得做了
[1160.0s-1161.6s] 我以为还是应该
[1161.6s-1163.0s] 你以为你以为你哪来的
[1163.0s-1164.5s] 你以为那你前面的条件都不用了
[1165.4s-1167.4s] 你以为就是你想听到的内容了
[1167.4s-1169.4s] 你以为就是你什么想要听到什么
[1169.4s-1170.6s] 就是什么内容了
[1170.6s-1171.6s] 想的都不需要了
[1171.8s-1173.6s] 你以为你以为全是你以为
[1173.8s-1175.7s] 我要市场以为我要你以为干嘛
[1176.3s-1178.0s] 你做股票是你以为就有用的
[1178.8s-1179.4s] 那我
[1179.7s-1182.9s] 那我可能比较偏信于就是说这个
[1184.4s-1185.4s] 软件的
[1186.4s-1187.2s] 显示了
[1187.7s-1190.1s] 软件的显示
[1190.6s-1194.3s] 跟我分享的观点两者有什么冲突吗
[1195.5s-1199.0s] 软件的空是卖点没有毛病
[1199.4s-1202.5s] 我说的两种情况的卖点也没有毛病
[1202.5s-1206.0s] 这两者有什么矛盾点吗
[1207.8s-1212.8s] 那如果说你是一定要看到软件空去检测
[1213.1s-1215.0s] 那你就等软件空去检测就好了
[1215.0s-1216.2s] 你有啥好质疑的呢
[1216.9s-1218.3s] 就你有啥好疑问的
[1220.6s-1222.7s] 就你的逻辑自己都不能自洽
[1222.7s-1224.7s] 比如说你就是看软件的空
[1225.4s-1226.4s] 你才去离场
[1227.0s-1228.8s] 那今天管你屁事
[1229.3s-1231.0s] 那是你没道理的卖点
[1232.4s-1234.9s] 对所以我就你又不放心
[1235.4s-1236.8s] 你心里又坦特
[1237.9s-1238.9s] 是不是这么回事
[1241.0s-1242.3s] 不是如果没有
[1242.5s-1246.0s] 如果没有这个你这个软件那个推演功能化
[1246.0s-1249.0s] 我今天肯定很早就会跑掉
[1249.5s-1252.0s] 但正因为有你这个软件
[1252.0s-1254.5s] 然后我又有个这个参与功能
[1254.8s-1258.6s] 然后我测试了再加上各种信息综合判断
[1258.8s-1261.4s] 所以我觉得给了自己一点
[1261.6s-1264.5s] 再继续拿着的一点点勇气和自信
[1264.5s-1267.1s] 我没有说你拿着有什么错
[1267.4s-1268.5s] 听得明白吗
[1268.8s-1272.2s] 如果你的标准是按软件的空在离场
[1272.2s-1273.8s] 有没有错没有错
[1274.4s-1277.3s] 因为这是你从买入股票的那一刻
[1277.8s-1279.3s] 进场的那一刻
[1279.6s-1281.4s] 你已经定下的卖点
[1282.2s-1284.2s] 这叫模式内的卖点有问题吗
[1284.3s-1285.4s] 没问题这是对的
[1286.3s-1289.6s] 你的错在于明明执行了模式内的外点
[1289.6s-1290.9s] 那有什么好纠结的呢
[1291.0s-1292.0s] 你在纠结什么
[1293.1s-1295.0s] 你的卖点就要等到出现空
[1295.3s-1296.8s] 你的标准是非常明确的
[1296.8s-1298.4s] 那你今天的交易有问题吗
[1298.4s-1299.1s] 没问题啊
[1300.6s-1301.9s] 对我没听见
[1302.3s-1304.0s] 我那你在问什么
[1307.2s-1308.6s] 那你公平上面在问什么
[1308.8s-1311.1s] 你不是一直在纠结推演没有出现空
[1311.2s-1312.2s] 所以你没有走
[1312.2s-1313.8s] 一直在说推演没有出现空
[1314.3s-1315.0s] 是不会出现空
[1315.0s-1316.2s] 今天不会出现空
[1316.9s-1318.4s] 今天你无论怎么推
[1318.8s-1319.9s] 不会出现空
[1321.1s-1322.4s] 对所以我觉得了
[1322.4s-1325.2s] 老大大生那个软件太神奇了
[1326.2s-1327.2s] 神奇什么
[1328.8s-1330.6s] 还没反弹的你配合啥
[1330.6s-1331.9s] 今天不会出现空
[1332.1s-1333.8s] 你有什么好神奇的
[1334.2s-1335.5s] 你明后天反弹了
[1335.5s-1336.8s] 你才说软件神奇
[1336.8s-1338.1s] 这里不是卖点
[1338.6s-1339.9s] 不是软件的卖点
[1340.5s-1341.2s] 能懂吗
[1341.6s-1344.2s] 就是就是你们很多人
[1345.0s-1346.7s] 我去我去看你们
[1346.7s-1347.9s] 我去看你们很多人
[1347.9s-1348.9s] 尤其是兴奋
[1349.1s-1351.2s] 会有一个很明显的现象是什么
[1351.6s-1352.7s] 一旦出阴陷
[1354.1s-1357.6s] 就各种打破自己原有的交易计划的规则
[1359.9s-1360.5s] 能懂吗
[1360.5s-1363.0s] 各种打破自己原有交易计划的规则
[1364.7s-1366.4s] 就像今天这种阴陷
[1367.3s-1370.2s] 昨天的直播间讲过的卖点是什么
[1370.8s-1372.7s] 比如说你一定要选择空去卖
[1373.0s-1373.5s] 行
[1373.5s-1374.3s] 没有问题
[1374.3s-1376.6s] 因为这个标准说白的是你自己制定的
[1376.6s-1377.9s] 卖股模式上面
[1378.1s-1379.5s] 没有绝对的对和错
[1379.5s-1381.2s] 但是你的标准一定要统一
[1381.5s-1382.7s] 你不能说按空来
[1382.7s-1384.3s] 然后自己又把按这个操作
[1384.9s-1385.6s] 这是第一种
[1385.6s-1388.6s] 第二种是严格按照我的标准卖点来的
[1388.6s-1390.0s] 出现了三种情况的其中一种
[1390.0s-1391.6s] 你就要去走也行
[1392.0s-1394.2s] 但你不能说你知道这是卖点
[1394.2s-1395.0s] 但你不卖
[1395.7s-1398.0s] 我们先不去管明天会不会反弹
[1398.5s-1399.4s] 这是明天的事情
[1399.4s-1402.0s] 先把今天和昨天的事情要聊完
[1402.7s-1403.4s] 能懂吗
[1406.2s-1407.3s] 这样讲的理解吗
[1407.9s-1409.4s] 理解了理解了理解了
[1410.0s-1410.8s] 谢谢老大
[1410.8s-1413.3s] 今天这今天真的我学习了很多
[1414.2s-1415.3s] ok ok没问题
[1415.8s-1417.9s] 今天因为我们直播间说句实话
[1417.9s-1418.9s] 今天不受影响
[1418.9s-1420.4s] 但是要庆幸
[1420.7s-1422.2s] 我们不受影响的原因是
[1422.2s-1424.9s] 这次确实选刀的票还算比较扛跌
[1425.8s-1426.5s] 能懂吗
[1427.1s-1429.0s] 就是你们要庆幸的是
[1429.3s-1431.2s] 这一次我们啊你可以下班了
[1432.7s-1434.8s] 哦好担心你直接转连就好了
[1434.8s-1435.2s] 啊
[1435.7s-1437.1s] 我们比较庆幸的是
[1437.1s-1439.0s] 这次还好布局了
[1439.6s-1441.2s] 布局的方向
[1441.4s-1444.5s] 它是属于五阶段里面比较热门的方向
[1445.3s-1446.0s] 能懂吗
[1446.6s-1449.1s] 它是因为是五阶段里面比较热门的方向
[1455.4s-1458.2s] 所以你会发现比较扛跌啊比较扛跌
[1459.1s-1461.5s] 来回到我们刚才指数则实上面
[1464.4s-1467.4s] 趁着今天我必须要把很多人罵醒
[1467.4s-1468.2s] 为什么
[1469.1s-1469.7s] 为什么
[1470.2s-1472.1s] 我见过无数个粉丝
[1472.8s-1474.7s] 在大大跌的时候
[1475.2s-1476.3s] 在大跌的时候
[1477.3s-1478.5s] 才意识到
[1478.8s-1481.0s] 我曾经在直播间讲的内容有多重要
[1481.0s-1482.2s] 来我们继续回顾
[1482.6s-1484.4s] 昨天的几句话刚才被这个
[1484.9s-1485.8s] 呃粉丝给打断了
[1485.8s-1486.8s] 我们重复一下
[1487.1s-1488.7s] 回顾一下重复一下第一
[1489.1s-1489.9s] 第一句话
[1490.5s-1491.2s] 第一句话
[1491.6s-1494.9s] 五阶段就是比一阶段和三阶段要难做的多
[1494.9s-1497.2s] 它是结构性行情里面的结构性行情
[1497.6s-1499.5s] 仓位不要超过六层仓位
[1500.4s-1502.1s] 现在你们知道这句话的意义了吗
[1504.0s-1506.4s] 今天这根大阴线我们没有受伤
[1506.4s-1507.9s] 但你不能按没有受伤去算
[1507.9s-1509.1s] 假设你受了重伤
[1511.1s-1514.3s] 你现在能够理解什么叫用仓位管理
[1514.7s-1516.3s] 去敬畏市场了吗
[1518.5s-1521.2s] 你现在知道为什么大作手回忆录里面
[1521.5s-1525.1s] 我们全世界最伟大的投机天王立夫墨
[1525.4s-1528.6s] 无奇无落的人生最后开枪自杀
[1529.7s-1532.5s] 顶尖大佬都有无奇无落的人生
[1533.3s-1536.3s] 你凭什么在确定性不高的时候能随便满仓
[1538.4s-1539.9s] 现在知道为什么五阶段
[1539.9s-1541.2s] 我们一定要去控制仓位吗
[1541.3s-1542.6s] 我不知道会出大阴线
[1542.6s-1545.8s] 首先这个层面上面你们也不用说
[1545.8s-1548.0s] 老大级是不是早就知道会出大阴
[1548.0s-1548.8s] 我不知道
[1550.6s-1552.7s] 我只知道的是五阶段的风险
[1553.3s-1555.4s] 比三阶段和一阶段要难做的多
[1556.4s-1559.3s] 我只知道市场就是存在巨大的不确定性的
[1560.2s-1562.1s] 我只知道我们去尊重这个市场
[1562.1s-1565.3s] 所以有了一个行为动作叫做五阶段仓位
[1565.3s-1566.9s] 绝对不超过六层
[1568.0s-1568.9s] 这句话圈起来
[1569.9s-1571.5s] 借今天的大跌
[1573.5s-1576.5s] 今天如果说有一些自己的股票亏钱的人
[1576.9s-1579.6s] 正好给你一次教训什么教训
[1579.9s-1580.7s] 敬畏市场
[1584.6s-1585.5s] 敬畏市场
[1589.8s-1590.2s] 能懂吗
[1590.2s-1590.8s] 第二
[1590.9s-1593.6s] 昨天跟大家分享过三种卖点
[1593.7s-1595.5s] 然后借着这个粉丝
[1595.5s-1598.6s] 他说他要通过空来卖ok也行的
[1599.6s-1601.0s] 这里没有绝对的对错
[1601.0s-1603.3s] 我一直跟你们讲过卖点是一个标准
[1603.5s-1605.3s] 在你买入股票的那一刻
[1605.3s-1607.9s] 你确定的卖点就是要等软件空
[1608.3s-1609.4s] 我才走
[1610.3s-1612.7s] 那你今天不走2点57分
[1613.3s-1615.6s] 你看软件是个转不走
[1615.6s-1616.5s] 有没有问题
[1616.8s-1617.6s] 没有问题
[1619.4s-1620.7s] 我是非常客观的
[1621.4s-1623.3s] 你的标准在定下来的那一刻
[1623.3s-1625.2s] 就是要等软件空才走的
[1625.5s-1627.3s] 因为我的标准定给你们的时候
[1627.3s-1628.3s] 我是三个标准
[1628.6s-1630.3s] 3.6万亿以上的爆亮阳
[1630.8s-1632.5s] 要么就是巨量阴线
[1632.6s-1634.4s] 要么就是软件出现空
[1634.8s-1636.9s] 其中一个发生了就是卖点对不对
[1637.1s-1638.9s] 所以从我的视角来说
[1638.9s-1641.4s] 我就要去执行这三样里面触发的条件
[1641.4s-1642.6s] 但凡触发就要走
[1642.6s-1644.8s] 就跟我们当时这个条件一样还记得吗
[1645.5s-1646.3s] 这个阴线的时候
[1646.3s-1647.6s] 我们的触发条件是什么
[1647.6s-1648.9s] 软件有出现空吗
[1648.9s-1649.5s] 没有
[1649.7s-1651.1s] 但为什么会触发这个条件
[1651.1s-1654.5s] 是因为这一天AI硬科技的亏钱效应
[1654.5s-1656.0s] 大于多少60%
[1656.2s-1659.4s] 触发了我们当时原来就定下的卖股条件
[1660.3s-1662.0s] 所以我们要提前走
[1662.7s-1663.4s] 能懂吗
[1663.4s-1663.9s] 来
[1664.3s-1666.3s] 我刚才讲的内容非常重要
[1667.4s-1669.4s] 我刚才讲的内容他非常重要
[1669.4s-1670.2s] 能理解吗
[1673.9s-1674.7s] 能理解吗
[1683.7s-1684.5s] 能理解吗
[1688.2s-1689.0s] 上午没卖
[1689.0s-1689.8s] 没有任何问题
[1689.8s-1691.6s] 我说了你爆亮阴线
[1691.6s-1693.4s] 你不到下午是看不出来的
[1694.0s-1695.0s] 很多人又在纠结了
[1695.0s-1696.8s] 好像自己开了天眼一样的
[1697.2s-1698.8s] 哎呀我上午没卖
[1698.8s-1700.8s] 我早知道上午卖掉了
